date	precio
20211209	20.2566
20211208	20.2889
20211207	20.3621
20211206	20.2609
20211203	20.4705
20211202	20.5672
20211201	20.5123
20211130	20.2346
20211129	20.3455
20211126	20.2217
20211125	20.4108
20211124	20.4977
20211123	20.5304
20211122	20.3935
20211119	20.2984
20211118	20.2023
20211117	20.4123
20211116	20.155
20211112	20.3371
20211111	20.3979
20211110	20.5158
20211109	20.3179
20211108	20.3614
20211105	20.0438
20211104	19.8245
20211103	19.8609
20211101	19.9636
20211029	20.1329
20211028	20.3177
20211027	20.0258
20211026	19.8022
20211025	19.479
20211022	19.4383
20211021	19.4623
20211020	19.4169
20211019	19.3669
20211018	19.2183
20211015	19.1018
20211014	18.8012
20211013	18.7693
20211012	18.8096
20211011	18.9202
20211008	19.0217
20211007	19.1183
20211006	19
20211005	18.9234
20211004	18.9444
20211001	19.1328
20210930	18.8014
20210929	18.7503
20210928	18.6531
20210927	18.7231
20210924	18.812
20210923	18.8986
20210922	18.987
20210921	18.8516
20210920	18.8539
20210917	18.8296
20210915	18.7672
20210914	18.7694
20210913	18.8399
20210910	18.8689
20210909	18.8775
20210908	19.0511
20210907	19.268
20210906	19.2989
20210903	19.2394
20210902	19.3546
20210901	19.4433
20210831	19.3609
20210830	19.2137
20210827	19.1792
20210826	19.1258
20210825	19.0659
20210824	18.9354
20210823	18.6697
20210820	18.8339
20210819	18.8672
20210818	18.8176
20210817	18.8784
20210816	19.0305
20210813	19.0615
20210812	19.01
20210811	19.2339
20210810	18.9973
20210809	19.1801
20210806	18.9273
20210805	18.6511
20210804	18.4542
20210803	18.4631
20210802	18.5433
20210730	18.5725
20210729	18.6349
20210728	18.5899
20210727	18.6457
20210726	18.5413
20210723	18.5515
20210722	18.6234
20210721	18.7709
20210720	18.8506
20210719	19.0761
20210716	19.0694
20210715	19.079
20210714	18.91
20210713	18.8763
20210712	18.836
20210709	18.8854
20210708	18.8241
20210707	18.9632
20210706	19.0559
20210705	19.1563
20210702	19.0719
20210701	19.2513
20210630	19.4284
20210629	19.5974
20210628	20.1453
20210625	19.6912
20210624	19.8633
20210623	20.0553
20210622	19.8754
20210621	20.0908
20210618	20.1264
20210617	20.3689
20210616	20.3937
20210615	20.5531
20210614	20.6968
20210611	20.716
20210610	20.6953
20210609	20.6259
20210608	20.596
20210607	20.4722
20210604	20.5281
20210603	20.46
20210602	20.3129
20210601	20.3863
20210531	19.9934
20210528	19.8662
20210527	19.9759
20210526	19.7322
20210525	19.7499
20210524	19.5915
20210521	19.5608
20210520	19.7048
20210519	19.7661
20210518	19.7528
20210517	19.9054
20210514	19.9319
20210513	19.7033
20210512	19.7094
20210511	19.7854
20210510	19.5214
20210507	19.3539
20210506	19.2989
20210505	19.5387
20210504	19.5781
20210503	19.4232
20210430	19.2017
20210429	19.1223
20210428	19.0943
20210427	18.7878
20210426	18.6847
20210423	18.8644
20210422	19.053
20210421	18.8139
20210420	18.8628
20210419	18.621
20210416	18.2819
20210415	18.0333
20210414	17.9787
20210413	18.0394
20210412	18.087
20210409	18.1353
20210408	18.2018
20210407	18.2882
20210406	18.2753
20210405	18.2888
20210331	18.1081
20210330	18.2244
20210329	18.2044
20210326	18.2967
20210325	18.2709
20210324	18.3445
20210323	18.3268
20210322	18.5364
